City Name,Zone Name,Ward Name,Number of Poles,No. of poles of LED Bulbs,No. of poles with conventional / non LED Lights,Total length of roads (in km),Number of street lights / poles per km of road,Total no. of streets,No. of streets with adequate street lighting facilties
Lucknow,Zone 1,B.B.D ,948,948,NA,NA,distance between two Pole 20 meter,948,NA
Lucknow,Zone 1,GANESHGANJ,667,667,NA,NA,distance between two Pole 20 meter,667,NA
Lucknow,Zone 1,GOLA GANJ PEER JALIL,901,901,NA,NA,distance between two Pole 20 meter,901,NA
Lucknow,Zone 1,HAZARAT GANJ,1355,1355,NA,NA,distance between two Pole 20 meter,1355,NA
Lucknow,Zone 1,J.C BOSH,1063,1063,NA,NA,distance between two Pole 20 meter,1063,NA
Lucknow,Zone 1,LAL KUWA,483,483,NA,NA,distance between two Pole 20 meter,483,NA
Lucknow,Zone 1,MAHATMA GANDHI,660,660,NA,NA,distance between two Pole 20 meter,660,NA
Lucknow,Zone 1,MAULVI GANJ,1010,1010,NA,NA,distance between two Pole 20 meter,1010,NA
Lucknow,Zone 1,NAZAR BAGH,274,274,NA,NA,distance between two Pole 20 meter,274,NA
Lucknow,Zone 1,RAJA RAM MOHAN RAI,948,948,NA,NA,distance between two Pole 20 meter,948,NA
Lucknow,Zone 1,RANI LAXMI BAI AMEENABAD,1051,1051,NA,NA,distance between two Pole 20 meter,1051,NA
Lucknow,Zone 1,VIKRAMADITYA,1298,1298,NA,NA,distance between two Pole 20 meter,1298,NA
Lucknow,Zone 1,WASHIRAT GANJ,281,281,NA,NA,distance between two Pole 20 meter,281,NA
Lucknow,Zone 1,WAZEERGANJ,463,463,NA,NA,distance between two Pole 20 meter,463,NA
Lucknow,Zone 1,YADUNATH SANYAL,696,696,NA,NA,distance between two Pole 20 meter,696,NA
Lucknow,Zone 2,AISH BAGH,1538,1538,NA,NA,distance between two Pole 20 meter,1538,NA
Lucknow,Zone 2,KUWAR JYOTI - I,867,867,NA,NA,distance between two Pole 20 meter,867,NA
Lucknow,Zone 2,RAJA JI PURAM,3151,3151,NA,NA,distance between two Pole 20 meter,3151,NA
Lucknow,Zone 2,RAZA BAJAR,636,636,NA,NA,distance between two Pole 20 meter,636,NA
Lucknow,Zone 2,AMBEDKAR NAGAR,1057,1057,NA,NA,distance between two Pole 20 meter,1057,NA
Lucknow,Zone 2,HARDIN RAI,1019,1019,NA,NA,distance between two Pole 20 meter,1019,NA
Lucknow,Zone 2,LABOUR COLONY,458,458,NA,NA,distance between two Pole 20 meter,458,NA
Lucknow,Zone 2,MALVIYA NAGAR,1127,1127,NA,NA,distance between two Pole 20 meter,1127,NA
Lucknow,Zone 2,MOTI LAL NEHRU,1145,1145,NA,NA,distance between two Pole 20 meter,1145,NA
Lucknow,Zone 2,RAJENDRA NAGAR,670,670,NA,NA,distance between two Pole 20 meter,670,NA
Lucknow,Zone 2,TILAK NAGAR,770,770,NA,NA,distance between two Pole 20 meter,770,NA
Lucknow,Zone 2,YANHIYA GANJ,850,850,NA,NA,distance between two Pole 20 meter,850,NA
Lucknow,Zone 3,ALIGANJ,1389,1389,NA,NA,distance between two Pole 20 meter,1389,NA
Lucknow,Zone 3,MAHAKAVI JAISHANKAR PRASHAD,1029,1029,NA,NA,distance between two Pole 20 meter,1029,NA
Lucknow,Zone 3,JANKI PURAM I,2273,2273,NA,NA,distance between two Pole 20 meter,2273,NA
Lucknow,Zone 3,JANKI PURAM II,1607,1607,NA,NA,distance between two Pole 20 meter,1607,NA
Lucknow,Zone 3,TRIVENI NAGAR,1227,1227,NA,NA,distance between two Pole 20 meter,1227,NA
Lucknow,Zone 3,BEGAM HAZARAT MAHAL,1005,1005,NA,NA,distance between two Pole 20 meter,1005,NA
Lucknow,Zone 3,VIVEKANANDAPURI,961,961,NA,NA,distance between two Pole 20 meter,961,NA
Lucknow,Zone 3,BHARTENDU HARISHCHANDRA,1278,1278,NA,NA,distance between two Pole 20 meter,1278,NA
Lucknow,Zone 3,NIRALA NAGAR (DALIGANJ),1076,1076,NA,NA,distance between two Pole 20 meter,1076,NA
Lucknow,Zone 3,FAIZULLAGANJ I,989,989,NA,NA,distance between two Pole 20 meter,989,NA
Lucknow,Zone 3,FAIZULLAGANJ II,1322,1322,NA,NA,distance between two Pole 20 meter,1322,NA
Lucknow,Zone 3,AYODHYA DAS I,585,585,NA,NA,distance between two Pole 20 meter,585,NA
Lucknow,Zone 3,AYODHYA DAS II,706,706,NA,NA,distance between two Pole 20 meter,706,NA
Lucknow,Zone 3,MAHANAGAR,1311,1311,NA,NA,distance between two Pole 20 meter,1311,NA
Lucknow,Zone 3,LALA LAJPAT RAI,937,937,NA,NA,distance between two Pole 20 meter,937,NA
Lucknow,Zone 3,KADAM RASHOOL,466,466,NA,NA,distance between two Pole 20 meter,466,NA
Lucknow,Zone 3,FAIZULAGANJ IV,576,576,NA,NA,distance between two Pole 20 meter,576,NA
Lucknow,Zone 3,MANKAMESHWAR,1389,1389,NA,NA,distance between two Pole 20 meter,1389,NA
Lucknow,Zone 3,FAIZULAGANJ III,1012,1012,NA,NA,distance between two Pole 20 meter,1012,NA
Lucknow,Zone 4,RAFI AHAMAD KIDWAI,2979,2979,NA,NA,distance between two Pole 20 meter,2979,NA
Lucknow,Zone 4,CHINHAT FIRST,1544,1544,NA,NA,distance between two Pole 20 meter,1544,NA
Lucknow,Zone 4,CHINHAT SECOND,3252,3252,NA,NA,distance between two Pole 20 meter,3252,NA
Lucknow,Zone 4,RAJIV GANDHI FIRST,2508,2508,NA,NA,distance between two Pole 20 meter,2508,NA
Lucknow,Zone 4,RAJIV GANDHI SECOND,2744,2744,NA,NA,distance between two Pole 20 meter,2744,NA
Lucknow,Zone 4,NISHANT GANJ KELVIN,1137,1137,NA,NA,distance between two Pole 20 meter,1137,NA
