City Name,Zone Name,Ward Name,Ward No.,No. of intersections / junctions,Total number of operational signalized intersections
Lucknow,Zone -1,Ibraheempur,1,Pgi City,Yes
Lucknow,Zone-1,Ibraheempur,2,teli bagh,Yes
Lucknow,Zone-1,Ibraheempur,3,Patel dental Colony,No
Lucknow,Zone-1,Hajratganj,1,Hajratgnaj Churaha,Yes
Lucknow,Zone-1,Hajratganj ramtirath,2,Sikandrabagh Chauraha,Yes
Lucknow,Zone-1,Hajratganj ramtirath,3,Golf Club Chauraha,Yes
Lucknow,Zone-1,Hajratganj ramtirath,4,Danik Jagaran Charaha,Yes
Lucknow,Zone-1,Hajratganj ramtirath,5,UP tech Chauraha,No
Lucknow,Zone-1,Hajratganj ramtirath,6,Amar Uajala Chuaraha,No
Lucknow,Zone-1,Hajratganj ramtirath,7,National PG Collge Chauraha,No
Lucknow,Zone-1,Hajratganj ramtirath,8,Navelti Chauraha,No
Lucknow,Zone-1,Mahatama Gandhi Margh,1,Babu bawan Chauaraha ,No
Lucknow,Zone-1,Mahatama Gandhi Margh,2,Bandariya bagh Chauraha,No
Lucknow,Zone-1,Mahatama Gandhi Margh,3,Ram Pratap Chuaraha,No
Lucknow,Zone-1,Vikarmaditiya ward,1,Lalbatti Chauraha,No
Lucknow,Zone-1,Vikarmaditiya ward,2,VIP Chauraha,No
Lucknow,Zone-1,Lal Kuwa,1,Basmandi Chauraha,No
Lucknow,Zone-1,Lal Kuwa,2,Naka Chauraha,No
Lucknow,Zone-1,Raja ram Mohan Ward ,1,Balu Adda Chauraha,NA
Lucknow,Zone-1,Jia Mau Ward,1,1090 Chauarah ,No
Lucknow,Zone-1,Ganesh Ganj Chauraha,1,Rakabganj Chaurhaa,No
Lucknow,Zone-1,Rani Laxmi bai Chuaraha,1,Kaiserbagh Chuaraha,No
Lucknow,Zone-5,Ramji lal nagar,1,Alambagh Crosing,Yes
Lucknow,Zone-5,Ramji lal nagar,2,Tedi Puliya,No
Lucknow,Zone-5,Ramji lal nagar,3,Awadh Xing,Yes
Lucknow,Zone-5,Ramji lal nagar,4,Alambagh Thana,No
Lucknow,Zone-5,Sarojani Nagar,1,Airport Sheed,Yes
Lucknow,Zone-5,Sarojani Nagar,2,Airport Tiraha,Yes
Lucknow,Zone-5,Sarojani Nagar,3,Nadar ganj,Yes
Lucknow,Zone-5,Sarojani Nagar,4,sarojni nagar,No
Lucknow,Zone-5,Kunj Bihari,1,Mavaiya Tahana,Yes
Lucknow,Zone-5,Kunj Bihari,2,Charbagh Bus,No
Lucknow,Zone-5,Kunj Bihari,3,Stand Tiraha,No
Lucknow,Zone-5,Kunj Bihari,4,Kailash Puri Tiraha,No
Lucknow,Zone-8,Hind Nagar Ward,1,Picadely Chauraha,No
Lucknow,Zone-8,Hind Nagar Ward,2,Krishna Nagar Metro,No
Lucknow,Zone-8,Hind Nagar Ward,3,Chungi Chauraha,No
Lucknow,Zone-8,Hind Nagar Ward,4,Lokbandhu Crosing,No
Lucknow,Zone-8,Hind Nagar Ward,5,Hind Nagar Xing,No
Lucknow,Zone-8,Bidyawati Ward,1,Pakri Crosing ,No
Lucknow,Zone-8,Bidyawati Ward,2,Ashiyana,No
Lucknow,Zone-8,Bidyawati Ward,3,Charanjeet Tiraha,No
Lucknow,Zone-8,Bidyawati Ward,4,Power House Crossing,No
Lucknow,Zone-8,Bidyawati Ward,5,Khazana Crosing,No
Lucknow,Zone-8,Bidyawati Ward,6,Smrati upwan crosing,No
Lucknow,Zone-8,Sharada nagar,1,Bangala Bazar Crosing,No
Lucknow,Zone-8,Sharada nagar,2,Quila Crosing,No
