City Name,Zone Name,Ward name,Ward No,Waste Quantity (TPD),Collection Vehicle detailsType of Waste collection vehicle,Collection Vehicle detailsCapacity (in cubic meters),Collection Vehicle detailsYear of purchase,Collection Vehicle details Nos of Vehicle,Collection Vehicle detailsFrequency of trips (Daily Biweekly Fortnightly Monthly)
Lucknow,Zone  2,AMBEDKAR NAGAR WARD,1,12904,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,5,3
Lucknow,Zone  8,RAJA BIJLI PAASI  II WARD,2,12748,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,5,3
Lucknow,Zone  8,RAJA BIJLI PAASI  I WARD,3,10534,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,2,3
Lucknow,Zone  5,SAROJINI NAGAR I WARD,4,10184,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,5,3
Lucknow,Zone  8,IBRAHIMPUR I WARD,5,12,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,6,3
Lucknow,Zone  8,SHARDA NAGARI WARD,6,126,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,4,3
Lucknow,Zone  7,SHAHEED BHAGAT SINGH WARD,7,17528,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,2,3
Lucknow,Zone  7,LAL BAHADUR SHASTRI  I WARD,8,10116,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,4,3
Lucknow,Zone  5,SAROJINI NAGAR II WARD,9,111,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,4,3
Lucknow,Zone  2,MALVIYA NAGAR WARD,10,6308,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,4,3
Lucknow,Zone  5,HAIDERGANJ  III WARD,11,991,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,2,3
Lucknow,Zone  8,SHARDA NAGARII WARD,12,12506,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,5,3
Lucknow,Zone  6,SAADATGANJ WARD,13,13296,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,5,3
Lucknow,Zone  8,IBRAHIMPUR II WARD,14,11948,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,7,3
Lucknow,Zone  5,BALAGANJ WARD,15,18722,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,10,3
Lucknow,Zone  2,JAANKIPURAM  I WARD,16,13042,Manual RikshaERikshaZipTataAceMini TipperTracktorBolero,Manual Riksha3 ERiksha3Zip5TataAce45Mini Tipper6Tracktor20Bolero6,2017,3,3
