City Name,Zone Name,Ward name,Ward No ,Open space name/no,Open space heirarchy/ typology (refer to URDPFI),Open space area (in sqkm),Number of Tree (ward/public space street)
Lucknow,1,YADUNATH SANYAL,NA,Risaledar Park,NA,1422,NA
Lucknow,1,YADUNATH SANYAL,NA,Model House Park,NA,916,NA
Lucknow,1,YADUNATH SANYAL,NA,Sundar Bagh Park,NA,433,NA
Lucknow,1,YADUNATH SANYAL,NA,Hata khuda baksh Park,NA,792,NA
Lucknow,1,YADUNATH SANYAL,NA,Green Market Park (Tulsi Park),NA,2671,NA
Lucknow,1,YADUNATH SANYAL,NA,Gadbad jhala park,NA,852,NA
Lucknow,1,YADUNATH SANYAL,NA,Kasaibada Parke,NA,300,NA
Lucknow,1,BABU BARASI DAS,NA,Purana quila small park,NA,6848,NA
Lucknow,1,BABU BARASI DAS,NA,Purana quila large Park,NA,9512,NA
Lucknow,1,MAHATMA GHANDI,NA,Murali Nagar Park (Major Anshu Saxena Park),NA,2455,NA
Lucknow,1,MAHATMA GHANDI,NA,Havelock Road Park No 01,NA,191,NA
Lucknow,1,MAHATMA GHANDI,NA,Diamond dairy big park,NA,98617,NA
Lucknow,1,MAHATMA GHANDI,NA,Diamond dairy small park,NA,17719,NA
Lucknow,1,MAHATMA GHANDI,NA,Clay sqare park,NA,291,NA
Lucknow,1,MAHATMA GHANDI,NA,Barfakhana Park (small park in front of Alankar cinema),NA,231,NA
Lucknow,1,MAHATMA GHANDI,NA,Havelak Road Park No 02,NA,18865,NA
Lucknow,1,MAHATMA GHANDI,NA,Aina Bibi Park,NA,68097,NA
Lucknow,1,MASHAKGANJ WAZEERGANJ,NA,Mahavir Park (Elephant Park),NA,9727,NA
Lucknow,1,MASHAKGANJ WAZEERGANJ,NA,Buland bag park,NA,450,NA
Lucknow,1,MASHAKGANJ WAZEERGANJ,NA,Takimir (Ticcionia),NA,450,NA
Lucknow,1,Moulviganj,NA,Janana Park,NA,844375,NA
Lucknow,1,Hazratganj ramthirth,NA,Jhandi park,NA,7905,NA
Lucknow,1,Hazratganj ramthirth,NA,Laplace Park,NA,202,NA
Lucknow,1,Hazratganj ramthirth,NA,Balmiki park,NA,54272,NA
Lucknow,1,Hazratganj ramthirth,NA,Kalinivas park,NA,22724,NA
Lucknow,1,Hazratganj ramthirth,NA,Society Park,NA,703,NA
Lucknow,1,Hazratganj ramthirth,NA,Chillbal (Ramjas Park),NA,1451,NA
Lucknow,1,Hazratganj ramthirth,NA,Umrao Singh Park (cool park),NA,22724,NA
Lucknow,1,Hazratganj ramthirth,NA,Park Road Park,NA,726,NA
Lucknow,1,Hazratganj ramthirth,NA,Premnagar Park (Ashok Marg),NA,2287,NA
Lucknow,1,Raja ram mohan rai,NA,Sant Ravidas Nagar II Park,NA,246,NA
Lucknow,1,Raja ram mohan rai,NA,Balu Adda park,NA,609,NA
Lucknow,1,Raja ram mohan rai,NA,Balu adda 4th street,NA,462,NA
Lucknow,1,Raja ram mohan rai,NA,Sant Ravidas Nagar First Park,NA,246,NA
Lucknow,1,Rani laxmi bai,NA,Amirudadoula Park (Jhandey wala park),NA,9261,NA
Lucknow,1,Rani laxmi bai,NA,Goonghe Nawab Park (Ramkrishna Park),NA,2480,NA
Lucknow,1,Rani laxmi bai,NA,Ram Prasad Park,NA,24064,NA
