City Name,Zone Name,Ward Name,Ward No.,Area ( In sq km),Residential area (in sq Km),Non-residential area ( in sq Km) ,"Area covered under parks, playgrounds and open spaces (in sq km)"
Lucknow,Zone - 2,AMBEDKAR NAGAR WARD,1,6452,NA,NA,NA
Lucknow,Zone - 8,RAJA BIJLI PAASI - II WARD,2,6374,NA,NA,NA
Lucknow,Zone - 8,RAJA BIJLI PAASI - I WARD,3,5267,NA,NA,NA
Lucknow,Zone - 5,SAROJINI NAGAR -I WARD,4,5092,NA,NA,NA
Lucknow,Zone - 8,IBRAHIMPUR -I WARD,5,6000,NA,NA,NA
Lucknow,Zone - 8,SHARDA NAGAR-I WARD,6,6300,NA,NA,NA
Lucknow,Zone - 7,SHAHEED BHAGAT SINGH WARD,7,8764,NA,NA,NA
Lucknow,Zone - 7,LAL BAHADUR SHASTRI - I WARD,8,5058,NA,NA,NA
Lucknow,Zone - 5,SAROJINI NAGAR -II WARD,9,5550,NA,NA,NA
Lucknow,Zone - 2,MALVIYA NAGAR WARD,10,3154,NA,NA,NA
Lucknow,Zone - 5,HAIDERGANJ - III WARD,11,4955,NA,NA,NA
Lucknow,Zone - 8,SHARDA NAGAR-II WARD,12,6253,NA,NA,NA
Lucknow,Zone - 6,SAADATGANJ WARD,13,6648,NA,NA,NA
Lucknow,Zone - 8,IBRAHIMPUR -II WARD,14,5974,NA,NA,NA
Lucknow,Zone - 5,BALAGANJ WARD,15,9361,NA,NA,NA
Lucknow,Zone - 2,JAANKIPURAM - I WARD,16,6521,NA,NA,NA
Lucknow,Zone - 5,HAIDERGANJ - II WARD,17,4800,NA,NA,NA
Lucknow,Zone - 2,AISHBAGH WARD,18,3486,NA,NA,NA
Lucknow,Zone - 5,GURU NANAK NAGAR WARD,19,5600,NA,NA,NA
Lucknow,Zone - 6,ALAM NAGAR WARD,20,6774,NA,NA,NA
Lucknow,Zone - 1,HAZRATGANJ WARD,21,6800,NA,NA,NA
Lucknow,Zone - 5,KESHRI KHEDA WARD,22,5675,NA,NA,NA
Lucknow,Zone - 4,PAPER MILL COLONY WARD,23,5139,NA,NA,NA
Lucknow,Zone - 1,LALKUAN WARD,24,3539,NA,NA,NA
Lucknow,Zone - 5,KANHAIYA MADHOPUR- II WARD,25,5205,NA,NA,NA
Lucknow,Zone - 7,INDRA PRIYADARSHINI WARD,26,7033,NA,NA,NA
Lucknow,Zone - 1,VIKRAMADITYA WARD,27,3975,NA,NA,NA
Lucknow,Zone - 8,HIND NAGAR WARD,28,5364,NA,NA,NA
Lucknow,Zone - 5, SARDAR PATEL NAGAR WARD,29,4337,NA,NA,NA
Lucknow,Zone - 8,KHARIKA- II WARD,30,3719,NA,NA,NA
Lucknow,Zone - 7,SHANKARPURVA- II WARD,31,7246,NA,NA,NA
Lucknow,Zone - 3,DALIGANJ- NIRALA NAGAR WARD,32,9000,NA,NA,NA
Lucknow,Zone - 1,RAJA RAM MOHAN ROY WARD,33,5575,NA,NA,NA
Lucknow,Zone - 2,TILAK NAGAR- KUNDRI RAKABGANJ WARD,34,3219,NA,NA,NA
Lucknow,Zone - 4,CHINHAT- I  WARD,35,11500,NA,NA,NA
Lucknow,Zone - 5,GURU GOVIND SINGH WARD,36,2220,NA,NA,NA
Lucknow,Zone - 5,KANHAIYA MADHOPUR- I WARD,37,5352,NA,NA,NA
Lucknow,Zone - 8,VIDYAWATI- II WARD,38,6691,NA,NA,NA
Lucknow,Zone - 4,OM NAGAR WARD,39,4787,NA,NA,NA
Lucknow,Zone - 3,JAI SHANKAR PRASAD WARD,40,4912,NA,NA,NA
Lucknow,Zone - 4,COLVIN COLLEGE- NISHATGANJ WARD,41,3091,NA,NA,NA
Lucknow,Zone - 1,RANI LAXMI BAI WARD,42,6000,NA,NA,NA
Lucknow,Zone - 3,FAIZULLAHGANJ-II WARD,43,5600,NA,NA,NA
Lucknow,Zone - 1,JAGDISH CHANDRA BOSE WARD,44,3600,NA,NA,NA
Lucknow,Zone - 4,RAFI AHMED KIDWAI WARD,45,7183,NA,NA,NA
Lucknow,Zone - 2,MOTI LAL NEHRU NAGAR- CHANDRABHANU GUPTA WARD,46,5580,NA,NA,NA
Lucknow,Zone - 5,CHITRAGUPT NAGAR WARD,47,6114,NA,NA,NA
Lucknow,Zone - 4,BABU KUNJ BIHARI WARD,48,3304,NA,NA,NA
Lucknow,Zone - 4,CHINHAT- II WARD,49,7486,NA,NA,NA
Lucknow,Zone - 8,KHARIKA- I WARD,50,3100,NA,NA,NA
Lucknow,Zone - 3,AYODHYADAS- II WARD,51,6195,NA,NA,NA
Lucknow,Zone - 7,ISMAILGANJ- I WARD,52,4688,NA,NA,NA
Lucknow,Zone - 7,ISMAILGANJ- II WARD,53,5596,NA,NA,NA
Lucknow,Zone - 3,FAIZULLAHGANJ-I WARD,54,5500,NA,NA,NA
Lucknow,Zone - 1,BABU BANARSI DAS WARD,55,4106,NA,NA,NA
Lucknow,Zone - 8,VIDYAWATI- I WARD,56,5200,NA,NA,NA
Lucknow,Zone - 7,BABU JAGJEEVAN RAM WARD,57,5301,NA,NA,NA
Lucknow,Zone - 2,JAANKIPURAM - II WARD,58,7246,NA,NA,NA
Lucknow,Zone - 3,LALA LAJPAT RAI WARD,59,5301,NA,NA,NA
Lucknow,Zone - 4,GEETAPALLI WARD,60,5494,NA,NA,NA
Lucknow,Zone - 4,GOMTI NAGAR WARD,61,4461,NA,NA,NA
Lucknow,Zone - 3,MANKAMESHWAR WARD,62,3500,NA,NA,NA
Lucknow,Zone - 7,SHANKARPURVA- III WARD,63,3502,NA,NA,NA
Lucknow,Zone - 8,VIDYAWATI- III WARD,64,4940,NA,NA,NA
Lucknow,Zone - 3,BHARTENDU HARISHCHANDRA WARD,65,6650,NA,NA,NA
Lucknow,Zone - 1,MAHATMA GANDHI WARD,66,4534,NA,NA,NA
Lucknow,Zone - 3,MAHANAGAR WARD,67,5200,NA,NA,NA
Lucknow,Zone - 7,MAITHELI SHARAN GUPTA,68,5470,NA,NA,NA
Lucknow,Zone - 4,RAJEEV GANDHI- I WARD,69,7572,NA,NA,NA
Lucknow,Zone - 2,KUWAR JYOTI PRASAD WARD,70,3501,NA,NA,NA
Lucknow,Zone - 2,LABOUR COLONY WARD,71,4965,NA,NA,NA
Lucknow,Zone - 3,TRIVENI NAGAR WARD,72,6460,NA,NA,NA
Lucknow,Zone - 3,FAIZULLAHGANJ-III WARD,73,4500,NA,NA,NA
Lucknow,Zone - 2,HARDEEN RAI NAGAR WARD,74,5665,NA,NA,NA
Lucknow,Zone - 3,FAIZULLAHGANJ-IV WARD,75,3850,NA,NA,NA
Lucknow,Zone - 5,HAIDERGANJ - I WARD,76,5243,NA,NA,NA
Lucknow,Zone - 7,LOHIYA NAGAR WARD,77,6655,NA,NA,NA
Lucknow,Zone - 1,GOLAGANJ PEERJALEEL WARD,78,4925,NA,NA,NA
Lucknow,Zone - 6,MALLAHI TOLA-I WARD,79,5361,NA,NA,NA
Lucknow,Zone - 3,KADAM RASOOL WARD,80,3704,NA,NA,NA
Lucknow,Zone - 2,RAJAJIPURAM WARD,81,4180,NA,NA,NA
Lucknow,Zone - 6,SHEETLA DEVI WARD,82,6868,NA,NA,NA
Lucknow,Zone - 2,RAJENDRA NAGAR WARD ,83,3269,NA,NA,NA
Lucknow,Zone - 1,BASHEERATGANJ- GANESHGANJ WARD,84,3547,NA,NA,NA
Lucknow,Zone - 7,SHANKARPURVA- I WARD,85,3670,NA,NA,NA
Lucknow,Zone - 7,INDRA NAGAR WARD,86,5104,NA,NA,NA
Lucknow,Zone - 6,MALLAHI TOLA-II WARD,87,3735,NA,NA,NA
Lucknow,Zone - 1,YADUNATH SANYAAL WARD,88,2880,NA,NA,NA
Lucknow,Zone - 6,HUSSAINABAD WARD,89,3907,NA,NA,NA
Lucknow,Zone - 6,DAULATGANJ WARD,90,3450,NA,NA,NA
Lucknow,Zone - 7,LAL BAHADUR SHASTRI - II WARD,91,3957,NA,NA,NA
Lucknow,Zone - 1,NAZARBAGH WARD,92,3201,NA,NA,NA
Lucknow,Zone - 5,GADHIPEER KHAN WARD,93,5609,NA,NA,NA
Lucknow,Zone - 4,VIVEKANANDPURI WARD,94,5500,NA,NA,NA
Lucknow,Zone - 6,AACHARYA NARENDRA DEV WARD,95,3339,NA,NA,NA
Lucknow,Zone - 4,RAJEEV GANDHI- II WARD,96,5933,NA,NA,NA
Lucknow,Zone - 6,AMBERGANJ WARD,97,4127,NA,NA,NA
