"id","year","state_name","state_code","sector","quantity"
0,"2016","Andhra Pradesh","28","Metallurgical Use- Cokeries",0.41
1,"2016","Andhra Pradesh","28","Other",0.68
2,"2009","Andhra Pradesh","28","Power (Utility)",38.56
3,"2020","Andhra Pradesh","28","Sponge Iron",0.04
4,"2019","Andhra Pradesh","28","Pulp and Paper",0.18
5,"2012","Andhra Pradesh","28","Cement",4.13
6,"2014","Andhra Pradesh","28","Metallurgical Use- Direct Feed",0.01
7,"2013","Andhra Pradesh","28","Bricks",0.01
8,"2021","Andhra Pradesh","28","Chemical",0.09
9,"2013","Andhra Pradesh","28","Other",2.82
10,"2016","Andhra Pradesh","28","Power (Utility)",29.16
11,"2011","Andhra Pradesh","28","Other",0.1
12,"2020","Andhra Pradesh","28","Other Basic-Metal (Aluminium Etc)",0.02
13,"2007","Andhra Pradesh","28","Cement",3.17
14,"2008","Andhra Pradesh","28","Metallurgical Use- Direct Feed",0.02
15,"2006","Andhra Pradesh","28","Other Basic-Metal (Aluminium Etc)",0.01
16,"2008","Andhra Pradesh","28","Power (Captive)",2.96
17,"2008","Andhra Pradesh","28","Chemical",0.16
18,"2012","Andhra Pradesh","28","Pulp and Paper",0.87
19,"2016","Andhra Pradesh","28","Chemical",0.06
20,"2008","Andhra Pradesh","28","Sponge Iron",0.77
21,"2006","Andhra Pradesh","28","Power (Utility)",32.04
22,"2019","Andhra Pradesh","28","Power (Utility)",32.16
23,"2012","Andhra Pradesh","28","Metallurgical Use- Direct Feed",0.11
24,"2015","Andhra Pradesh","28","Other",2.0
25,"2013","Andhra Pradesh","28","Colliery Own - Consumption",0.06
26,"2011","Andhra Pradesh","28","Sponge Iron",0.01
27,"2018","Andhra Pradesh","28","Sponge Iron",0.07
28,"2010","Andhra Pradesh","28","Other",2.35
29,"2006","Andhra Pradesh","28","Pulp and Paper",0.78
30,"2007","Andhra Pradesh","28","Textiles and Rayons",0.03
31,"2009","Andhra Pradesh","28","Cement",4.18
32,"2014","Andhra Pradesh","28","Sponge Iron",0.44
33,"2012","Andhra Pradesh","28","Textiles and Rayons",0.03
34,"2006","Andhra Pradesh","28","Chemical",0.41
35,"2013","Andhra Pradesh","28","Metallurgical Use- Cokeries",0.08
36,"2021","Andhra Pradesh","28","Other Basic-Metal (Aluminium Etc)",0.02
37,"2013","Andhra Pradesh","28","Metallurgical Use- Cokeries",0.52
38,"2011","Andhra Pradesh","28","Cement",4.51
39,"2014","Andhra Pradesh","28","Power (Captive)",0.42
40,"2015","Andhra Pradesh","28","Power (Utility)",22.11
41,"2018","Andhra Pradesh","28","Chemical",0.07
42,"2007","Andhra Pradesh","28","Sponge Iron",0.6
43,"2009","Andhra Pradesh","28","Power (Captive)",3.2
44,"2006","Andhra Pradesh","28","Metallurgical Use- Cokeries",0.54
45,"2011","Andhra Pradesh","28","Bricks",0.0
46,"2017","Andhra Pradesh","28","Power (Captive)",1.7
47,"2016","Andhra Pradesh","28","Pulp and Paper",0.07
48,"2010","Andhra Pradesh","28","Pulp and Paper",0.91
49,"2011","Andhra Pradesh","28","Metallurgical Use- Cokeries",0.39
50,"2009","Andhra Pradesh","28","Steel (Boilers)",0.04
51,"2016","Andhra Pradesh","28","Cement",0.47
52,"2017","Andhra Pradesh","28","Power (Utility)",32.2
53,"2014","Andhra Pradesh","28","Colliery Own - Consumption",0.05
54,"2014","Andhra Pradesh","28","Bricks",0.02
55,"2011","Andhra Pradesh","28","Sponge Iron",0.82
56,"2018","Andhra Pradesh","28","Pulp and Paper",0.09
57,"2016","Andhra Pradesh","28","Other Basic-Metal (Aluminium Etc)",0.12
58,"2011","Andhra Pradesh","28","Bricks",0.11
59,"2017","Andhra Pradesh","28","Bricks",0.0
60,"2008","Andhra Pradesh","28","Power (Utility)",36.4
61,"2015","Andhra Pradesh","28","Sponge Iron",0.12
62,"2017","Andhra Pradesh","28","Cement",0.2
63,"2011","Andhra Pradesh","28","Power (Captive)",0.04
64,"2021","Andhra Pradesh","28","Pulp and Paper",0.03
65,"2008","Andhra Pradesh","28","Textiles and Rayons",0.04
66,"2011","Andhra Pradesh","28","Colliery Own - Consumption",0.1
67,"2018","Andhra Pradesh","28","Metallurgical Use- Direct Feed",0.51
68,"2009","Andhra Pradesh","28","Pulp and Paper",0.62
69,"2011","Andhra Pradesh","28","Power (Captive)",3.36
70,"2012","Andhra Pradesh","28","Sponge Iron",0.77
71,"2019","Andhra Pradesh","28","Other Basic-Metal (Aluminium Etc)",0.05
72,"2010","Andhra Pradesh","28","Bricks",0.29
73,"2021","Andhra Pradesh","28","Other",0.58
74,"2020","Andhra Pradesh","28","Power (Captive)",2.05
75,"2008","Andhra Pradesh","28","Cement",3.48
76,"2017","Andhra Pradesh","28","Other Basic-Metal (Aluminium Etc)",0.09
77,"2009","Andhra Pradesh","28","Other",2.75
78,"2006","Andhra Pradesh","28","Textiles and Rayons",0.04
79,"2012","Andhra Pradesh","28","Other",3.23
80,"2016","Andhra Pradesh","28","Sponge Iron",0.12
81,"2020","Andhra Pradesh","28","Pulp and Paper",0.14
82,"2010","Andhra Pradesh","28","Chemical",0.23
83,"2011","Andhra Pradesh","28","Power (Utility)",37.17
84,"2017","Andhra Pradesh","28","Metallurgical Use- Direct Feed",0.37
85,"2013","Andhra Pradesh","28","Cement",4.06
86,"2014","Andhra Pradesh","28","Cement",3.65
87,"2017","Andhra Pradesh","28","Pulp and Paper",0.08
88,"2007","Andhra Pradesh","28","Power (Captive)",0.81
89,"2007","Andhra Pradesh","28","Other",1.94
90,"2007","Andhra Pradesh","28","Power (Utility)",21.78
91,"2014","Andhra Pradesh","28","Power (Captive)",3.24
92,"2010","Andhra Pradesh","28","Steel (Boilers)",0.04
93,"2012","Andhra Pradesh","28","Bricks",0.05
94,"2020","Andhra Pradesh","28","Power (Utility)",32.24
95,"2019","Andhra Pradesh","28","Cement",0.38
96,"2019","Andhra Pradesh","28","Power (Utility)",0.03
97,"2014","Andhra Pradesh","28","Textiles and Rayons",0.01
98,"2012","Andhra Pradesh","28","Power (Utility)",43.32
99,"2006","Andhra Pradesh","28","Power (Captive)",0.55
100,"2006","Andhra Pradesh","28","Colliery Own - Consumption",0.13
101,"2008","Andhra Pradesh","28","Other Basic-Metal (Aluminium Etc)",0.17
102,"2016","Andhra Pradesh","28","Power (Captive)",1.76
103,"2011","Andhra Pradesh","28","Textiles and Rayons",0.02
104,"2013","Andhra Pradesh","28","Sponge Iron",0.61
105,"2008","Andhra Pradesh","28","Metallurgical Use- Cokeries",0.02
106,"2011","Andhra Pradesh","28","Other",2.87
107,"2013","Andhra Pradesh","28","Chemical",0.2
108,"2015","Andhra Pradesh","28","Power (Captive)",1.82
109,"2021","Andhra Pradesh","28","Cement",0.17
110,"2014","Andhra Pradesh","28","Power (Utility)",45.05
111,"2013","Andhra Pradesh","28","Power (Captive)",3.49
112,"2007","Andhra Pradesh","28","Bricks",0.21
113,"2010","Andhra Pradesh","28","Power (Captive)",2.94
114,"2006","Andhra Pradesh","28","Cement",3.24
115,"2011","Andhra Pradesh","28","Steel (Boilers)",0.12
116,"2006","Andhra Pradesh","28","Other",1.51
117,"2009","Andhra Pradesh","28","Textiles and Rayons",0.03
118,"2006","Andhra Pradesh","28","Bricks",0.28
119,"2010","Andhra Pradesh","28","Cement",4.91
120,"2014","Andhra Pradesh","28","Pulp and Paper",0.99
121,"2011","Andhra Pradesh","28","Chemical",0.28
122,"2020","Andhra Pradesh","28","Cement",0.21
123,"2014","Andhra Pradesh","28","Other",3.18
124,"2019","Andhra Pradesh","28","Other",0.69
125,"2017","Andhra Pradesh","28","Other",0.83
126,"2008","Andhra Pradesh","28","Other",2.11
127,"2011","Andhra Pradesh","28","Textiles and Rayons",0.03
128,"2012","Andhra Pradesh","28","Power (Captive)",3.34
129,"2010","Andhra Pradesh","28","Power (Utility)",38.04
130,"2009","Andhra Pradesh","28","Chemical",0.18
131,"2013","Andhra Pradesh","28","Textiles and Rayons",0.02
132,"2018","Andhra Pradesh","28","Cement",0.25
133,"2015","Andhra Pradesh","28","Colliery Own - Consumption",0.06
134,"2009","Andhra Pradesh","28","Sponge Iron",0.88
135,"2015","Andhra Pradesh","28","Chemical",0.06
136,"2019","Andhra Pradesh","28","Other",0.34
137,"2021","Andhra Pradesh","28","Power (Utility)",21.05
138,"2010","Andhra Pradesh","28","Textiles and Rayons",0.03
139,"2018","Andhra Pradesh","28","Other Basic-Metal (Aluminium Etc)",0.07
140,"2021","Andhra Pradesh","28","Power (Captive)",1.53
141,"2012","Andhra Pradesh","28","Metallurgical Use- Cokeries",0.47
142,"2017","Andhra Pradesh","28","Chemical",0.04
143,"2020","Andhra Pradesh","28","Chemical",0.09
144,"2017","Andhra Pradesh","28","Power (Utility)",0.1
145,"2019","Andhra Pradesh","28","Chemical",0.1
146,"2019","Andhra Pradesh","28","Sponge Iron",0.06
147,"2019","Andhra Pradesh","28","Power (Captive)",2.2
148,"2013","Andhra Pradesh","28","Pulp and Paper",0.86
149,"2018","Andhra Pradesh","28","Power (Utility)",31.6
150,"2006","Andhra Pradesh","28","Steel (Boilers)",1.85
151,"2012","Andhra Pradesh","28","Chemical",0.22
152,"2020","Andhra Pradesh","28","Other",0.62
153,"2017","Andhra Pradesh","28","Sponge Iron",0.27
154,"2018","Andhra Pradesh","28","Power (Captive)",2.03
155,"2006","Andhra Pradesh","28","Sponge Iron",0.14
156,"2010","Andhra Pradesh","28","Sponge Iron",0.91
157,"2013","Andhra Pradesh","28","Power (Utility)",47.81
158,"2011","Andhra Pradesh","28","Power (Utility)",0.23
159,"2009","Andhra Pradesh","28","Metallurgical Use- Cokeries",0.63
160,"2011","Andhra Pradesh","28","Cement",0.21
161,"2018","Andhra Pradesh","28","Other",0.77
162,"2014","Andhra Pradesh","28","Chemical",0.21
163,"2015","Andhra Pradesh","28","Pulp and Paper",0.13
164,"2021","Andhra Pradesh","28","Sponge Iron",0.0
165,"2007","Andhra Pradesh","28","Steel (Boilers)",0.04
166,"2010","Andhra Pradesh","28","Metallurgical Use- Cokeries",0.33
167,"2008","Andhra Pradesh","28","Pulp and Paper",0.73
168,"2012","Andhra Pradesh","28","Colliery Own - Consumption",0.12
169,"2011","Andhra Pradesh","28","Pulp and Paper",0.97
170,"2020","Andhra Pradesh","28","Power (Utility)",0.0
171,"2016","Andhra Pradesh","28","Bricks",0.01
172,"2007","Andhra Pradesh","28","Pulp and Paper",0.72
173,"2007","Andhra Pradesh","28","Chemical",0.2
174,"2018","Andhra Pradesh","28","Power (Utility)",0.02
175,"2015","Andhra Pradesh","28","Bricks",0.0
176,"2013","Arunachal Pradesh","12","Other",0.06
177,"2015","Arunachal Pradesh","12","Other",0.0
178,"2017","Arunachal Pradesh","12","Other",0.0
179,"2011","Arunachal Pradesh","12","Other",0.26
180,"2010","Arunachal Pradesh","12","Other",0.23
181,"2012","Arunachal Pradesh","12","Other",0.33
182,"2021","Assam","18","Other",0.06
183,"2021","Assam","18","Power (Captive)",0.0
184,"2015","Assam","18","Pulp and Paper",0.0
185,"2007","Assam","18","Cement",0.03
186,"2017","Assam","18","Other",0.15
187,"2006","Assam","18","Other",0.21
188,"2018","Assam","18","Power (Utility)",0.03
189,"2017","Assam","18","Power (Captive)",0.01
190,"2009","Assam","18","Cement",0.03
191,"2016","Assam","18","Pulp and Paper",0.04
192,"2019","Assam","18","Other",0.09
193,"2018","Assam","18","Power (Utility)",0.82
194,"2019","Assam","18","Power (Utility)",1.47
195,"2012","Assam","18","Other",0.09
196,"2011","Assam","18","Other Basic-Metal (Aluminium Etc)",0.1
197,"2020","Assam","18","Other",0.06
198,"2020","Assam","18","Power (Captive)",0.0
199,"2009","Assam","18","Other",0.11
200,"2018","Assam","18","Cement",0.03
201,"2007","Assam","18","Pulp and Paper",0.11
202,"2011","Assam","18","Other",0.02
203,"2006","Assam","18","Pulp and Paper",0.12
204,"2019","Assam","18","Cement",0.03
205,"2021","Assam","18","Power (Utility)",0.82
206,"2021","Assam","18","Other",0.02
207,"2019","Assam","18","Power (Captive)",0.01
208,"2021","Assam","18","Power (Utility)",0.0
209,"2015","Assam","18","Cement",0.02
210,"2020","Assam","18","Power (Utility)",1.99
211,"2008","Assam","18","Pulp and Paper",0.09
212,"2017","Assam","18","Pulp and Paper",0.07
213,"2013","Assam","18","Pulp and Paper",0.05
214,"2017","Assam","18","Cement",0.02
215,"2011","Assam","18","Pulp and Paper",0.1
216,"2011","Assam","18","Cement",0.03
217,"2013","Assam","18","Other",0.07
218,"2020","Assam","18","Cement",0.04
219,"2006","Assam","18","Colliery Own - Consumption",0.0
220,"2016","Assam","18","Cement",0.02
221,"2008","Assam","18","Other",0.12
222,"2019","Assam","18","Power (Utility)",0.01
223,"2017","Assam","18","Power (Utility)",0.68
224,"2021","Assam","18","Cement",0.04
225,"2021","Assam","18","Power (Utility)",0.03
226,"2012","Assam","18","Pulp and Paper",0.04
227,"2018","Assam","18","Power (Captive)",0.01
228,"2008","Assam","18","Cement",0.03
229,"2016","Assam","18","Other",0.06
230,"2006","Assam","18","Cement",0.03
231,"2018","Assam","18","Other",0.13
232,"2013","Assam","18","Cement",0.03
233,"2016","Assam","18","Power (Utility)",0.11
234,"2014","Assam","18","Other",0.06
235,"2014","Assam","18","Cement",0.02
236,"2015","Assam","18","Other",0.11
237,"2009","Assam","18","Pulp and Paper",0.09
238,"2007","Assam","18","Other",0.17
239,"2012","Assam","18","Cement",0.03
240,"2016","Bihar","10","Chemical",0.01
241,"2009","Bihar","10","Cement",0.05
242,"2021","Bihar","10","Power (Utility)",1.25
243,"2015","Bihar","10","Chemical",0.01
244,"2011","Bihar","10","Metallurgical Use- Cokeries",0.04
245,"2014","Bihar","10","Other",0.67
246,"2013","Bihar","10","Other",0.74
247,"2010","Bihar","10","Cement",0.05
248,"2020","Bihar","10","Other",0.64
