"id","year","country","type","quantity","amount","price"
0,"2006","Australia","Coke",0.08,48.2,6025.0
1,"2006","Australia","Coking",13.97,7744.2,5543.45
2,"2006","Australia","Non-Coking",0.39,125.8,3225.64
3,"2006","China","Coke",2.4,2051.0,8545.83
4,"2006","China","Coking",0.91,450.5,4950.55
5,"2006","China","Non-Coking",2.17,666.3,3070.51
6,"2006","Indonesia","Coking",0.32,140.2,4381.25
7,"2006","Indonesia","Non-Coking",15.74,3507.9,2228.65
8,"2006","Japan","Coke",0.1,68.1,6810.0
9,"2006","Japan","Non-Coking",0.0,0.1,""
10,"2006","Mozambique","Non-Coking",0.04,13.1,3275.0
11,"2006","New Zealand","Coking",0.61,406.6,6665.57
12,"2006","Others","Coke",0.01,8.6,8600.0
13,"2006","Others","Non-Coking",0.0,0.61,""
14,"2006","Russia","Coke",0.03,40.0,13333.33
15,"2006","Russia","Coking",0.04,24.2,6050.0
16,"2006","South Africa","Coking",0.02,9.2,4600.0
17,"2006","South Africa","Non-Coking",3.22,972.1,3018.94
18,"2006","Taiwan","Coke",0.0,1.0,""
19,"2006","United Kingdom","Coke",0.0,1.5,""
20,"2006","United Kingdom","Non-Coking",0.0,0.1,""
21,"2006","United States Of America","Coke",0.0,0.4,""
22,"2006","United States Of America","Coking",1.02,762.3,7473.53
23,"2006","Vietnam","Non-Coking",0.12,86.1,7175.0
24,"2007","Australia","Coke",0.1,82.5,8250.0
25,"2007","Australia","Coking",15.32,8781.4,5731.98
26,"2007","Australia","Non-Coking",0.56,236.3,4219.64
27,"2007","Canada","Coking",0.04,24.2,6050.0
28,"2007","China","Coke",4.2,3626.5,8634.52
29,"2007","China","Coking",0.55,255.1,4638.18
30,"2007","China","Non-Coking",3.55,1101.8,3103.66
31,"2007","Indonesia","Coking",0.14,46.0,3285.71
32,"2007","Indonesia","Non-Coking",18.6,4245.4,2282.47
33,"2007","New Zealand","Coking",0.69,439.6,6371.01
34,"2007","Others","Coke",0.39,310.1,7951.28
35,"2007","Others","Coking",0.01,1.7,1700.0
36,"2007","Others","Non-Coking",0.0,1.2,""
37,"2007","Russia","Non-Coking",0.05,19.9,3980.0
38,"2007","South Africa","Coking",0.29,103.9,3582.76
39,"2007","South Africa","Non-Coking",2.1,713.7,3398.57
40,"2007","United States Of America","Coke",0.0,2.0,""
41,"2007","United States Of America","Coking",0.84,528.8,6295.24
42,"2007","United States Of America","Non-Coking",0.04,13.1,3275.0
43,"2007","Vietnam","Non-Coking",0.3,176.6,5886.67
44,"2008","Australia","Coke",0.16,191.2,11950.0
45,"2008","Australia","Coking",19.63,10794.6,5499.03
46,"2008","Australia","Non-Coking",1.07,380.5,3556.07
47,"2008","China","Coke",3.75,4546.3,12123.47
48,"2008","China","Coking",0.18,126.2,7011.11
49,"2008","China","Non-Coking",0.37,188.8,5102.7
50,"2008","Egypt","Coke",0.03,33.0,11000.0
51,"2008","Indonesia","Coking",0.24,98.6,4108.33
52,"2008","Indonesia","Non-Coking",19.27,5185.9,2691.18
53,"2008","Iran","Coke",0.02,25.5,12750.0
54,"2008","Japan","Coke",0.21,232.5,11071.43
55,"2008","Malaysia","Coking",0.03,15.0,5000.0
56,"2008","New Zealand","Coke",0.01,3.8,3800.0
57,"2008","New Zealand","Coking",0.76,445.6,5863.16
58,"2008","Others","Coke",0.02,20.0,10000.0
59,"2008","Others","Coking",0.0,0.2,""
60,"2008","Others","Non-Coking",0.0,0.2,""
61,"2008","Philippines","Non-Coking",0.32,90.0,2812.5
62,"2008","Russia","Non-Coking",0.1,48.4,4840.0
63,"2008","Singapore","Coke",0.02,43.6,21800.0
64,"2008","Singapore","Coking",0.01,7.7,7700.0
65,"2008","Singapore","Non-Coking",0.05,9.7,1940.0
66,"2008","South Africa","Coking",0.59,260.2,4410.17
67,"2008","South Africa","Non-Coking",6.38,2608.7,4088.87
68,"2008","St Lucia","Coking",0.04,15.2,3800.0
69,"2008","United States Of America","Coke",0.02,27.2,13600.0
70,"2008","United States Of America","Coking",0.54,339.3,6283.33
71,"2008","United States Of America","Non-Coking",0.0,0.4,""
72,"2008","Vietnam","Non-Coking",0.2,123.1,6155.0
73,"2009","Australia","Coke",0.14,315.4,22528.57
74,"2009","Australia","Coking",17.94,18972.2,10575.36
75,"2009","Australia","Non-Coking",1.65,1192.7,7228.48
76,"2009","China","Coke",1.6,4049.8,25311.25
77,"2009","China","Coking",0.33,254.3,7706.06
78,"2009","China","Non-Coking",0.19,146.2,7694.74
79,"2009","Indonesia","Coking",0.37,362.9,9808.11
80,"2009","Indonesia","Non-Coking",28.4,12281.0,4324.3
81,"2009","Japan","Coke",0.07,100.8,14400.0
82,"2009","Jordan","Non-Coking",0.02,4.6,2300.0
83,"2009","New Zealand","Coking",0.84,886.3,10551.19
84,"2009","Others","Coke",0.0,0.2,""
85,"2009","Others","Non-Coking",0.0,0.7,""
86,"2009","Philippines","Non-Coking",0.19,71.5,3763.16
87,"2009","Russia","Coke",0.06,137.7,22950.0
88,"2009","Russia","Coking",0.24,414.1,17254.17
89,"2009","Russia","Non-Coking",0.19,222.6,11715.79
90,"2009","South Africa","Coking",0.14,80.3,5735.71
91,"2009","South Africa","Non-Coking",6.95,4417.8,6356.55
92,"2009","Thailand","Non-Coking",0.04,41.8,10450.0
93,"2009","United Arab Emirates","Coking",0.01,15.2,15200.0
94,"2009","United Kingdom","Coke",0.0,1.0,""
95,"2009","United Kingdom","Non-Coking",0.0,0.2,""
96,"2009","United States Of America","Coke",0.0,0.3,""
97,"2009","United States Of America","Coking",1.21,1628.6,13459.5
98,"2009","United States Of America","Non-Coking",0.01,3.6,3600.0
99,"2009","Unspecified","Non-Coking",0.01,2.1,2100.0
100,"2009","Vietnam","Non-Coking",0.26,341.9,13150.0
101,"2010","Australia","Coke",0.3,430.5,14350.0
102,"2010","Australia","Coking",20.96,17184.1,8198.52
103,"2010","Australia","Non-Coking",1.87,1196.2,6396.79
104,"2010","Indonesia","Coking",0.21,141.5,6738.1
105,"2010","Indonesia","Non-Coking",31.96,11405.8,3568.77
106,"2010","Mozambique","Non-Coking",0.08,31.5,3937.5
107,"2010","New Zealand","Coking",1.06,997.7,9412.26
108,"2010","Others","Coke",1.32,1840.5,13943.18
109,"2010","Others","Coking",0.14,83.6,5971.43
110,"2010","Others","Non-Coking",-0.02,-10.0,5000.0
111,"2010","Philippines","Non-Coking",0.67,223.5,3335.82
112,"2010","Russia","Coke",0.59,851.7,14435.59
113,"2010","Russia","Non-Coking",0.15,138.2,9213.33
114,"2010","South Africa","Coking",0.96,411.8,4289.58
115,"2010","South Africa","Non-Coking",13.53,5815.1,4297.93
116,"2010","United Kingdom","Coke",0.03,52.1,17366.67
117,"2010","United Kingdom","Non-Coking",0.1,61.1,6110.0
118,"2010","United States Of America","Coke",0.09,125.5,13944.44
119,"2010","United States Of America","Coking",1.37,1312.4,9579.56
120,"2010","United States Of America","Non-Coking",0.03,17.9,5966.67
121,"2010","Vietnam","Coke",0.02,30.8,15400.0
122,"2010","Vietnam","Non-Coking",0.19,169.4,8915.79
123,"2011","Australia","Coking",15.95,17119.2,10733.04
124,"2011","Australia","Non-Coking",0.0,0.2,""
125,"2011","Canada","Coking",0.0,0.1,""
126,"2011","Canada","Non-Coking",0.0,0.1,""
127,"2011","China","Coke",0.7,1621.2,23160.0
128,"2011","China","Coking",0.11,135.0,12272.73
129,"2011","China","Non-Coking",0.13,40.2,3092.31
130,"2011","Colombia","Coke",0.04,82.7,20675.0
131,"2011","Colombia","Non-Coking",0.1,44.3,4430.0
132,"2011","Indonesia","Coke",0.22,391.1,17777.27
133,"2011","Indonesia","Coking",0.58,474.0,8172.41
134,"2011","Indonesia","Non-Coking",35.36,13004.8,3677.83
135,"2011","Iran","Coking",0.01,10.7,10700.0
136,"2011","Kenya","Coking",0.05,67.6,13520.0
137,"2011","Malaysia","Coking",0.01,14.7,14700.0
138,"2011","Mexico","Coking",0.02,23.9,11950.0
139,"2011","New Zealand","Coking",0.8,770.4,9630.0
140,"2011","Others","Coke",0.2,385.01,19250.5
141,"2011","Others","Coking",0.0,0.03,""
142,"2011","Others","Non-Coking",1.8,1329.3,7385.0
143,"2011","Philippines","Non-Coking",0.26,80.2,3084.62
144,"2011","Russia","Coke",0.09,174.8,19422.22
145,"2011","Russia","Coking",0.24,258.8,10783.33
146,"2011","Russia","Non-Coking",0.18,162.8,9044.44
147,"2011","South Africa","Coking",0.22,134.1,6095.45
148,"2011","South Africa","Non-Coking",10.99,5593.1,5089.26
149,"2011","United Kingdom","Coke",0.03,64.4,21466.67
150,"2011","United Kingdom","Coking",0.0,3.0,""
151,"2011","United Kingdom","Non-Coking",0.07,41.8,5971.43
152,"2011","United States Of America","Coke",0.18,307.0,17055.56
153,"2011","United States Of America","Coking",1.48,1850.4,12502.7
154,"2011","United States Of America","Non-Coking",0.29,132.5,4568.97
155,"2011","Vietnam","Coke",0.04,94.2,23550.0
156,"2011","Vietnam","Non-Coking",0.24,258.1,10754.17
157,"2012","Australia","Coking",25.51,34634.3,13576.75
158,"2012","Australia","Non-Coking",2.29,1991.3,8695.63
159,"2012","Austria","Coking",0.11,104.1,9463.64
160,"2012","Austria","Non-Coking",0.07,36.4,5200.0
161,"2012","Canada","Coking",0.23,315.7,13726.09
162,"2012","China","Coke",0.72,1689.5,23465.28
163,"2012","China","Coking",0.27,365.0,13518.52
164,"2012","China","Non-Coking",0.22,129.0,5863.64
165,"2012","Germany","Coking",0.03,52.3,17433.33
166,"2012","Germany","Non-Coking",0.01,17.2,17200.0
167,"2012","Indonesia","Coke",0.21,356.4,16971.43
168,"2012","Indonesia","Coking",0.5,482.2,9644.0
169,"2012","Indonesia","Non-Coking",54.76,25359.6,4631.04
170,"2012","Iran","Non-Coking",0.07,44.2,6314.29
171,"2012","New Zealand","Coking",0.94,1285.4,13674.47
172,"2012","New Zealand","Non-Coking",0.02,13.2,6600.0
173,"2012","Others","Coke",0.73,1407.5,19280.82
174,"2012","Others","Coking",0.32,422.3,13196.88
175,"2012","Others","Non-Coking",0.63,352.9,5601.59
176,"2012","Russia","Coke",0.3,464.5,15483.33
177,"2012","Russia","Coking",0.15,193.0,12866.67
178,"2012","Russia","Non-Coking",1.04,795.6,7650.0
179,"2012","Singapore","Coke",0.02,47.2,23600.0
180,"2012","Singapore","Coking",0.0,4.4,""
181,"2012","South Africa","Coking",1.03,736.9,7154.37
182,"2012","South Africa","Non-Coking",11.19,6973.8,6232.17
183,"2012","United Arab Emirates","Coke",0.01,5.3,5300.0
184,"2012","United Arab Emirates","Coking",0.03,31.5,10500.0
185,"2012","United Arab Emirates","Non-Coking",0.04,50.1,12525.0
186,"2012","United Kingdom","Coke",0.33,716.5,21712.12
187,"2012","United Kingdom","Coking",0.0,3.6,""
188,"2012","United Kingdom","Non-Coking",0.37,357.9,9672.97
189,"2012","United States Of America","Coke",0.03,39.5,13166.67
190,"2012","United States Of America","Coking",2.68,3838.5,14322.76
191,"2012","United States Of America","Non-Coking",0.29,136.0,4689.66
192,"2012","Vietnam","Coke",0.02,32.0,16000.0
193,"2012","Vietnam","Non-Coking",0.06,111.1,18516.67
194,"2013","Australia","Coke",0.04,65.5,16375.0
195,"2013","Australia","Coking",27.48,29504.0,10736.54
196,"2013","Australia","Non-Coking",2.97,2092.9,7046.8
197,"2013","Austria","Coking",0.02,18.1,9050.0
198,"2013","Bangladesh","Coke",0.0,0.4,""
199,"2013","Bosnia And Herzegovina","Coke",0.04,76.3,19075.0
200,"2013","Canada","Coking",0.87,1015.3,11670.11
201,"2013","Canada","Non-Coking",0.13,69.1,5315.38
202,"2013","China","Coke",0.1,241.8,24180.0
203,"2013","China","Non-Coking",0.01,34.2,34200.0
204,"2013","Colombia","Coke",0.34,553.9,16291.18
205,"2013","Colombia","Coking",0.07,67.8,9685.71
