"id","year","state_name","state_code","residence_type","households_with_loom","households_without_loom","households_with_pitloom_with_dobby_jacquard","households_with_other_pitlooms","households_with_framelooms_with_dobby_jacquard","households_with_other_frame_looms","households_with_loin_looms","households_with_other_looms","non_commercial_handloom_household","households_handloom_as_occupation_and_income","households_handloom_for_dmstc_and_cmrcl_purpose","households_weaving_dhoti_sarong_lungi_angavastram","households_weaving_saree","households_weaving_dress_material_suiting_shirting","households_weaving_towel_napkin_duster_gamcha","households_weaving_bedsheet_furnishings_blanket","households_weaving_shawls_mekhla_chadder","households_weaving_durries_rugs_mats","households_weaving_others","avg_prod_major_fabric_per_weaver_per_day"
0,"2019-2020","Andaman and Nicobar Islands","35","Rural","","","","","","","","","","","","","","","","","","","",""
1,"2019-2020","Andaman and Nicobar Islands","35","Urban","","","","","","","","","","","","","","","","","","","",""
2,"2019-2020","Andhra Pradesh","28","Rural",53462.0,7719.0,38666.0,9197.0,2927.0,1792.0,0.0,7467.0,0.0,53462.0,0.0,3434.0,53626.0,4629.0,1848.0,571.0,62.0,589.0,2010.0,6.0
3,"2019-2020","Andhra Pradesh","28","Urban",23469.0,14131.0,25925.0,1230.0,1860.0,764.0,0.0,2198.0,0.0,23469.0,0.0,1472.0,35352.0,708.0,338.0,165.0,78.0,346.0,293.0,4.0
4,"2019-2020","Arunachal Pradesh","12","Rural",70778.0,279.0,19737.0,5046.0,1310.0,2433.0,56156.0,6077.0,43378.0,22480.0,4920.0,29200.0,885.0,1326.0,5256.0,566.0,34639.0,848.0,1682.0,5.0
5,"2019-2020","Arunachal Pradesh","12","Urban",6371.0,1.0,2735.0,27.0,183.0,176.0,5493.0,77.0,4542.0,1561.0,268.0,4161.0,28.0,40.0,16.0,21.0,2011.0,153.0,23.0,4.0
6,"2019-2020","Assam","18","Rural",1011021.0,76082.0,346856.0,130452.0,159393.0,384250.0,69723.0,144198.0,55351.0,953860.0,1810.0,246449.0,52642.0,22198.0,352290.0,26860.0,609158.0,12992.0,34870.0,5.0
7,"2019-2020","Assam","18","Urban",9905.0,899.0,1731.0,1500.0,634.0,3988.0,1327.0,2561.0,1061.0,8823.0,21.0,1097.0,382.0,365.0,3320.0,356.0,7748.0,154.0,216.0,6.0
8,"2019-2020","Bihar","10","Rural",4258.0,80.0,544.0,3739.0,57.0,393.0,0.0,998.0,0.0,4258.0,0.0,913.0,2107.0,915.0,88.0,258.0,114.0,87.0,162.0,12.0
9,"2019-2020","Bihar","10","Urban",1663.0,101.0,306.0,1617.0,31.0,234.0,0.0,459.0,0.0,1663.0,0.0,423.0,746.0,424.0,13.0,88.0,141.0,4.0,50.0,13.0
10,"2019-2020","Chandigarh","04","Rural","","","","","","","","","","","","","","","","","","","",""
11,"2019-2020","Chandigarh","04","Urban","","","","","","","","","","","","","","","","","","","",""
12,"2019-2020","Chhattisgarh","22","Urban",2079.0,363.0,36.0,1525.0,3.0,417.0,0.0,172.0,0.0,2079.0,0.0,658.0,6.0,4.0,5.0,76.0,516.0,1801.0,100.0,17.0
13,"2019-2020","Chhattisgarh","22","Rural",10307.0,1086.0,2420.0,1074.0,1199.0,4957.0,0.0,257.0,0.0,10307.0,0.0,2926.0,4552.0,7604.0,1416.0,499.0,522.0,449.0,1923.0,13.0
14,"2019-2020","Chhattisgarh","22","Urban",2319.0,99.0,231.0,230.0,174.0,1693.0,0.0,129.0,0.0,2319.0,0.0,650.0,1317.0,1708.0,348.0,285.0,169.0,35.0,389.0,14.0
15,"2019-2020","Delhi","07","Rural",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"2019-2020","Delhi","07","Urban",752.0,2470.0,1.0,422.0,1.0,625.0,0.0,32.0,0.0,752.0,0.0,1138.0,33.0,10.0,17.0,1072.0,75.0,829.0,359.0,9.0
17,"2019-2020","Goa","30","Rural",1.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0
18,"2019-2020","Goa","30","Urban",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
19,"2019-2020","Gujarat","24","Rural",7661.0,314.0,3567.0,916.0,922.0,1705.0,0.0,1044.0,0.0,7661.0,0.0,2494.0,1626.0,729.0,389.0,200.0,1784.0,661.0,1076.0,10.0
20,"2019-2020","Gujarat","24","Urban",1561.0,331.0,444.0,145.0,227.0,639.0,0.0,162.0,0.0,1561.0,0.0,285.0,584.0,228.0,54.0,37.0,178.0,373.0,415.0,14.0
21,"2019-2020","Haryana","06","Rural",89.0,135.0,0.0,1.0,0.0,62.0,0.0,27.0,0.0,89.0,0.0,1.0,0.0,0.0,0.0,62.0,2.0,158.0,1.0,13.0
22,"2019-2020","Haryana","06","Urban",563.0,13532.0,45.0,24.0,127.0,254.0,0.0,141.0,0.0,563.0,0.0,742.0,34.0,40.0,21.0,460.0,57.0,9583.0,4010.0,32.0
23,"2019-2020","Himachal Pradesh","02","Rural",12236.0,595.0,2423.0,7361.0,1015.0,2293.0,0.0,873.0,0.0,12236.0,0.0,5533.0,346.0,53.0,113.0,1527.0,9878.0,4607.0,5074.0,3.0
24,"2019-2020","Himachal Pradesh","02","Urban",261.0,25.0,26.0,82.0,40.0,121.0,0.0,39.0,0.0,261.0,0.0,62.0,1.0,0.0,1.0,37.0,162.0,66.0,140.0,4.0
25,"2019-2020","Jammu and Kashmir","01","Rural",5185.236744,3358.496753,2107.023058,3807.341665,108.7811904,1234.813513,0.0,418.4645794,0.0,5185.236744,0.0,78.40085797,98.00107246,1853.20028,56.84062203,2694.049482,3359.476764,258.7228313,700.7076681,5.0
26,"2019-2020","Jammu and Kashmir","01","Urban",4937.504454,1938.996071,357.1058213,2200.676921,362.0246342,3618.278817,0.0,228.2329216,0.0,4937.504454,0.0,14.7564389,4.918812965,298.0800657,6.886338151,341.3656198,6216.395825,176.0935042,105.2625975,2.0
27,"2019-2020","Jharkhand","20","Rural",5694.0,4404.0,925.0,4758.0,61.0,686.0,0.0,171.0,0.0,5694.0,0.0,3851.0,4903.0,758.0,160.0,785.0,46.0,280.0,54.0,11.0
28,"2019-2020","Jharkhand","20","Urban",271.0,1575.0,167.0,115.0,33.0,25.0,0.0,35.0,0.0,271.0,0.0,1044.0,321.0,148.0,81.0,535.0,62.0,2.0,58.0,10.0
