"id","year","state","state_code","residence_type","non_hh_in_company","non_hh_in_cooperativ_society","non_hh_under_govt_or_corporation","non_hh_under_producer_group","non_hh_under_others_entities","non_hh_pitloom_with_dobby_jacquard","non_hh_frameloom_with_dobby_jacquard","non_hh_with_other_framelooms","non_hh_working_with_loinlooms","non_hh_working_with_other_looms","non_hh_prod_dhoti_sarong_lungi_angavastram","non_hh_prod_fabric_saree","non_hh_prod_dress_material","non_hh_prod_towel_napkin_duster_gamcha","non_hh_prod_bedsheet_furnishings_blanket","non_hh_prod_shawls_mekhla_chadder_loi_stole","non_hh_prod_durries_rugs_mats","non_hh_prod_other_major_fabrics","non_hh_usage_cotton_1_to_20","non_hh_usage_cotton_21_to_40","non_hh_usage_cotton_41_to_80","non_hh_usage_cotton_above_80","non_hh_usage_viscose_blends","non_hh_usage_muga_silk","non_hh_usage_eric_silk","non_hh_usage_mulberry_silk","non_hh_usage_tussar_silk","non_hh_usage_linen","non_hh_usage_wool","non_hh_usage_acrylic_wool","non_hh_usage_polyester_blends","non_hh_usage_jute","non_hh_usage_zari","non_hh_usage_other_type_of_yarns","non_hh_input_hank_yarn_in_open_market","non_hh_input_hank_yarn_master_weavers_group","non_hh_input_hank_yarn_cooperative_society","non_hh_input_hank_yarn_nhdc","non_hh_input_hank_yarn_khadi_n_vlg_indust","non_hh_input_other_types_of_hank_yarn","non_hh_input_dyes_chemicals_open_market","non_hh_input_dyes_chemicals_master_weavers_group","non_hh_input_dyes_chemicals_cooperative_society","non_hh_input_dyes_chemicals_nhdc","non_hh_input_dyes_chemicals_khadi_vlg_indust","non_hh_input_dyes_chemicals_other_types","non_hh_input_dyed_yarn_open_market","non_hh_input_dyed_yarn_master_weavers_group","non_hh_input_dyed_yarn_cooperative_society","non_hh_input_dyed_yarn_nhdc","non_hh_input_dyed_yarn_khadi_village_industries","non_hh_input_dyed_yarn_other_types","non_hh_sales_local_market","non_hh_sales_master_weaver_group","non_hh_sales_cooperative_society","non_hh_sales_organized_fairs_exhibition","non_hh_sales_export","non_hh_sales_ecommerce","non_hh_sales_other_sources"
0,"2019-2020","Andaman and Nicobar Islands","35","Rural","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,"2019-2020","Andaman and Nicobar Islands","35","Urban","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"2019-2020","Andhra Pradesh","28","Rural",2.0,33.0,2.0,3.0,0.0,512.0,52.0,93.0,0.0,16.0,3.0,34.0,5.0,1.0,1.0,0.0,0.0,7.0,1.0,2.0,16.0,4.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,7.0,15.0,4.0,21.0,4.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,11.0,6.0,4.0,12.0
3,"2019-2020","Andhra Pradesh","28","Urban",0.0,9.0,1.0,2.0,0.0,133.0,1.0,0.0,0.0,101.0,3.0,7.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,3.0
4,"2019-2020","Arunachal Pradesh","12","Rural",2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"2019-2020","Arunachal Pradesh","12","Urban",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"2019-2020","Assam","18","Rural",34.0,1106.0,12.0,10.0,543.0,1462.0,30.0,164.0,37.0,385.0,636.0,47.0,41.0,239.0,21.0,760.0,18.0,237.0,1195.0,402.0,42.0,12.0,5.0,305.0,6.0,13.0,5.0,9.0,345.0,5.0,5.0,18.0,4.0,90.0,1192.0,26.0,10.0,7.0,1.0,456.0,58.0,5.0,5.0,5.0,5.0,41.0,210.0,7.0,4.0,3.0,1.0,69.0,1199.0,0.0,0.0,27.0,9.0,10.0,697.0
7,"2019-2020","Assam","18","Urban",1.0,1.0,1.0,0.0,1.0,5.0,4.0,15.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
8,"2019-2020","Bihar","10","Rural",0.0,19.0,1.0,0.0,1.0,52.0,2.0,12.0,0.0,1.0,9.0,10.0,4.0,2.0,7.0,2.0,2.0,0.0,17.0,4.0,5.0,4.0,1.0,5.0,3.0,5.0,4.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0,3.0,0.0,1.0
9,"2019-2020","Bihar","10","Urban",11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0
