"id","year","state_name","state_code","sector","enterprise_type","activity","no_enterprises","msme_micro","msme_small","msme_medium","msme_total","non_msme","female_employees","male_employees","total_employees","formal_ann_salary","informal_ann_salary","all_ann_salary","less_than_4hours","hours_4to7","more_than_8hours","wh_not_reported","gross_value_added","per_employee_gva","per_enterprise_gva","within_hh","fixed","temporary_kiosk","no_fixed","mobile","total_outsidehh","ent_notreported","avg_gva_lessthan4hr","avg_gv_4to8hr","avg_gva_above8hr","avg_gva_all","proprietary_male","proprietary_female","proprietary_same_hh","proprietary_diff_hh","proprietary_shg","proprietary_trust","proprietary_others","proprietary_nr","perennial","seasonal","casual","operation_nr","own_management","usual_discharge","road_river_nala","not_generated_lw","local_civicauthority","authorised_ground","own_system","road_side","noprovision_thers","not_generated_sw","no_assistance","financial_loan","subsidy","machinery_equipment","skill_devlopment","marketing","raw_material","other_assistance","no_problems","power_cuts","shortage_raw_materials","fall_demand","high_cost_credit","non_recovery_financial_dues","non_available_labours","non_available_skilled_labour","labour_disputes","problems_others","not_registered","establishment_act","local_body","sales_tax_act","provident_fund_act","esc_act","stock_exchange","other_industry_act","donation_grants","major_receipt_others","not_any","data_collected","data_not_collected","no_accounts","st","sc","obc","social_groups_other","unknown"
0,"2016","Jammu and Kashmir","1","Rural","Own Account Enterprises","Manufacturing",133381.0,133381.0,0.0,0.0,133381.0,0.0,45678.0,106503.0,152182.0,0.0,73566.0,73566.0,"","","","",1175.0,77210.18,88093.51,80350.0,124285.0,67139.0,0.0,108613.0,100260.0,0.0,44104.0,58808.0,93862.0,76535.0,73.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,97.0,3.0,0.0,0.0,0.0,0.0,22.0,78.0,0.0,0.0,4.0,44.0,44.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,11.0,5.0,12.0,3.0,24.0,0.0,1.0,0.0,5.0,77.0,4.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,0.0,0.0,100.0,9.0,7.0,14.0,70.0,0.0
1,"2016","Jammu and Kashmir","1","Rural","Own Account Enterprises","Trade",89768.0,89768.0,0.0,0.0,89768.0,0.0,3023.0,93440.0,96495.0,0.0,27688.0,27688.0,1.0,15.0,85.0,0.0,922.0,95548.99,102709.2,90299.0,107378.0,99425.0,0.0,63753.0,91923.0,0.0,35094.0,73106.0,94179.0,90724.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,13.0,87.0,0.0,1.0,3.0,72.0,18.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14.0,1.0,6.0,5.0,34.0,0.0,0.0,0.0,5.0,56.0,31.0,12.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,100.0,0.0,6.0,94.0,6.0,7.0,9.0,78.0,0.0
2,"2016","Jammu and Kashmir","1","Rural","Own Account Enterprises","Services",79974.0,79925.0,49.0,0.0,79974.0,0.0,3633.0,76649.0,80282.0,0.0,67200.0,67200.0,12.0,24.0,64.0,0.0,946.0,117834.63,118288.45,101970.0,114900.0,136643.0,136866.0,151350.0,123069.0,0.0,48981.0,94984.0,132990.0,113690.0,95.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,3.0,49.0,48.0,0.0,0.0,3.0,57.0,17.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,7.0,0.0,5.0,2.0,6.0,1.0,1.0,0.0,8.0,49.0,8.0,11.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,100.0,0.0,1.0,99.0,7.0,15.0,14.0,64.0,0.0
3,"2016","Jammu and Kashmir","1","Rural","Own Account Enterprises","Total",303123.0,303073.0,49.0,0.0,303123.0,0.0,52334.0,276593.0,328959.0,0.0,58424.0,58424.0,4.0,32.0,64.0,0.0,3044.0,92534.33,100421.28,85543.0,112147.0,94033.0,136866.0,139165.0,119415.0,0.0,47743.0,67322.0,103573.0,89934.0,86.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,1.0,26.0,73.0,0.0,0.0,4.0,56.0,29.0,11.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,11.0,2.0,9.0,3.0,22.0,1.0,1.0,0.0,6.0,63.0,13.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,100.0,0.0,2.0,98.0,7.0,9.0,13.0,71.0,0.0
4,"2016","Jammu and Kashmir","1","Rural","Establishment","Manufacturing",18352.0,18352.0,0.0,0.0,18352.0,0.0,4006.0,42284.0,46290.0,36389.0,63798.0,63647.0,"","","","",478.0,103262.05,260462.08,208707.0,304714.0,277800.0,132230.0,137990.0,231333.0,0.0,67230.0,75849.0,105590.0,102818.0,97.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,32.0,67.0,0.0,0.0,7.0,32.0,59.0,3.0,99.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,37.0,2.0,6.0,1.0,44.0,1.0,2.0,0.0,4.0,47.0,31.0,4.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0,100.0,0.0,7.0,93.0,5.0,5.0,16.0,75.0,0.0
5,"2016","Jammu and Kashmir","1","Rural","Establishment","Trade",6332.0,6232.0,100.0,0.0,6332.0,0.0,99.0,14543.0,14832.0,82109.0,51430.0,51547.0,1.0,11.0,89.0,0.0,174.0,117313.91,274794.69,156641.0,285122.0,0.0,0.0,0.0,0.0,0.0,19637.0,77051.0,121776.0,116164.0,97.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,18.0,82.0,2.0,0.0,3.0,89.0,4.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,21.0,0.0,3.0,5.0,17.0,3.0,5.0,0.0,8.0,43.0,35.0,15.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,100.0,0.0,12.0,88.0,5.0,7.0,6.0,81.0,2.0
6,"2016","Jammu and Kashmir","1","Rural","Establishment","Services",15665.0,14848.0,817.0,0.0,15665.0,0.0,13776.0,40955.0,54731.0,75705.0,54747.0,56296.0,0.0,41.0,59.0,0.0,523.0,95558.27,333865.31,227507.0,442400.0,0.0,377183.0,254687.0,244346.0,0.0,44963.0,74504.0,108760.0,94611.0,96.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,57.0,40.0,2.0,0.0,2.0,52.0,30.0,14.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,3.0,6.0,32.0,1.0,4.0,0.0,6.0,14.0,13.0,6.0,0.0,1.0,0.0,0.0,76.0,0.0,1.0,99.0,0.0,17.0,83.0,7.0,6.0,10.0,77.0,0.0
7,"2016","Jammu and Kashmir","1","Rural","Establishment","Total",40348.0,39431.0,917.0,0.0,40348.0,0.0,17881.0,97782.0,115853.0,73810.0,57861.0,58516.0,0.0,24.0,76.0,0.0,1175.0,101421.63,291216.41,211662.0,339735.0,277800.0,340210.0,252332.0,243326.0,0.0,46526.0,74846.0,109205.0,100652.0,97.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,1.0,0.0,40.0,59.0,1.0,0.0,4.0,49.0,39.0,7.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,24.0,1.0,4.0,4.0,35.0,1.0,3.0,0.0,5.0,34.0,25.0,6.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,100.0,0.0,12.0,88.0,5.0,6.0,12.0,77.0,0.0
8,"2016","Jammu and Kashmir","1","Rural","All","Manufacturing",151732.0,151732.0,0.0,0.0,151732.0,0.0,49684.0,148788.0,198472.0,36389.0,63864.0,63714.0,"","","","",1653.0,83286.3,108942.09,89326.0,182305.0,74923.0,132230.0,109345.0,107096.0,0.0,46924.0,59703.0,97973.0,82642.0,76.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,23.0,77.0,0.0,0.0,5.0,42.0,46.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,14.0,4.0,12.0,2.0,26.0,1.0,1.0,0.0,5.0,73.0,7.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,100.0,0.0,1.0,99.0,8.0,7.0,14.0,70.0,0.0
9,"2016","Jammu and Kashmir","1","Rural","All","Trade",96100.0,96000.0,100.0,0.0,96100.0,0.0,3122.0,107983.0,111326.0,82109.0,51149.0,51266.0,1.0,14.0,85.0,0.0,1097.0,98539.42,114151.92,91691.0,121978.0,99425.0,0.0,63753.0,91923.0,0.0,32649.0,73491.0,97868.0,93999.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,13.0,87.0,1.0,1.0,3.0,73.0,17.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14.0,1.0,6.0,5.0,33.0,0.0,1.0,0.0,5.0,55.0,31.0,12.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,100.0,0.0,6.0,94.0,6.0,7.0,9.0,78.0,0.0
