Sl No,District,GDDP in Rs Cr (Current prices),GDDP in Rs Cr (Constant prices) ,Net District Domestic Product in Rs. Cr (Current Prices),NDDP in Rs. Cr (Constant Prices),Per Capita Income in Rs. (Per Capita NDDP at Current Prices)
1,Bagalkote,46992,29392,42095,25993,202845
2,Bengaluru Urban,698461,443487,656283,412963,621131
3,Bengaluru Rural,37997,22488,34754,20211,319380
4,Belagavi,82400,49656,72246,42737,137644
5,Ballari,66480,41324,58471,35985,217096
6,Bidar,28440,17232,25052,14906,133935
7,Vijayapura,39058,23604,34147,20216,142810
8,Chamarajanagar,22769,13949,20104,12130,179338
9,Chickballapur,27757,16827,24594,14661,178438
10,Chikkamagaluru,46922,28653,42361,25598,338978
11,Chitradurga,34551,20880,30430,18036,166985
12,Dakshina Kannada,111859,75051,101671,67672,443057
13,Davangere,39489,21628,34874,18643,163233
14,Dharwad,45999,29326,41359,26039,203906
15,Gadag,20615,17264,18166,15256,155387
16,Kalaburagi,40500,28474,35227,24670,124998
17,Hassan,46218,28717,41380,25373,212122
18,Haveri,29352,17715,25901,15353,147626
19,Kodagu,16877,9350,15105,8220,248051
20,Kolar,33560,20863,29420,17975,174370
21,Koppal,24140,14461,21332,12530,139756
22,Mandya,48080,30623,43125,27137,217475
23,Mysuru,68297,42234,60739,36938,184297
24,Raichur,34905,21409,30687,18539,144879
25,Ramnagara,30130,19301,26782,16933,225263
26,Shivamogga,58041,32972,52242,29168,271418
27,Tumakuru,75177,45877,66715,40107,226773
28,Udupi,52505,33347,47946,30146,370834
29,Uttara Kannada,34733,20861,30880,18232,195665
30,Yadagiri,20423,12751,18033,11101,139838
,State,1962725,1229713,1782120,1103468,265623
